Date,Open,High,Low,Close,Shares Traded,Turnover (? Cr)
########,12012.55,12012.55,11813.4,11829.4,4.91E+08,19421.04
########,11877.5,11883.05,11779.9,11797.9,4.61E+08,18510.82
########,11738.55,11783.25,11639.6,11678.5,5.68E+08,21887.07
########,11661.25,11663.85,11536.7,11633.3,6.09E+08,21623.47
########,11382,11384.8,11175.05,11201.75,8.11E+08,32297.15
########,11387.35,11433,11036.25,11132.75,6.81E+08,24204.55
########,11217.55,11342.25,11152.55,11303.3,6.97E+08,23281.2
########,11351.35,11356.6,11082.15,11251,7.98E+08,26928.46
########,11306.05,11389.5,11244.6,11269,1.35E+09,26980.65
########,10942.65,11035.1,10827.4,10989.45,1.81E+09,26455.29
########,10742.05,10751.55,10294.45,10451.45,1.57E+09,35151.79
########,10334.3,10545.1,10334,10458.4,1.22E+09,32548.47
########,10039.95,10040.75,9508,9590.15,1.34E+09,39283.97
########,9107.6,10159.4,8555.15,9955.2,1.39E+09,44167.89
########,9587.8,9602.2,9165.1,9197.4,8.99E+08,29181.8
########,9285.4,9403.8,8915.6,8967.05,9.36E+08,28004.16
########,9088.45,9127.55,8407.05,8468.8,1.52E+09,39256.71
########,8063.3,8575.45,7832.55,8263.45,9.27E+08,34274.23
########,8284.45,8883,8178.2,8745.45,1.07E+09,37321.25
########,7945.7,8159.25,7583.6,7610.25,6.54E+08,23891.9
########,7848.3,8036.95,7511.1,7801.05,7.39E+08,28282.09
########,7735.15,8376.75,7714.75,8317.85,7.38E+08,28482.01
########,8451,8749.05,8304.9,8641.45,8.67E+08,32228.31
########,8949.1,9038.9,8522.9,8660.25,8.02E+08,31336.86
########,8385.95,8576,8244,8281.1,5.94E+08,24724.44
########,8529.35,8678.3,8358,8597.75,7.13E+08,27401.3
1-Apr-20,8584.1,8588.1,8198.35,8253.8,5.08E+08,21307.3
3-Apr-20,8356.55,8356.55,8055.8,8083.8,6.98E+08,26561.18
7-Apr-20,8446.3,8819.4,8360.95,8792.2,8.15E+08,35206.69
8-Apr-20,8688.9,9131.7,8653.9,8748.75,8.98E+08,37641.68
9-Apr-20,8973.05,9128.35,8904.55,9111.9,7.43E+08,32907.82
13-Apr-20,9103.95,9112.05,8912.4,8993.85,6.44E+08,26749.06
15-Apr-20,9196.4,9261.2,8874.1,8925.3,8.80E+08,41878.64
16-Apr-20,8851.25,9053.75,8821.9,8992.8,7.20E+08,31318.29
17-Apr-20,9323.45,9324,9091.35,9266.75,6.85E+08,33334.73
20-Apr-20,9390.2,9390.85,9230.8,9261.85,7.26E+08,28620.91
21-Apr-20,9016.95,9044.4,8909.4,8981.45,6.55E+08,28273.89
22-Apr-20,9026.75,9209.75,8946.25,9187.3,7.34E+08,33981.82
23-Apr-20,9232.35,9343.6,9170.15,9313.9,6.67E+08,30270.55
24-Apr-20,9163.9,9296.9,9141.3,9154.4,6.59E+08,32859.05
27-Apr-20,9259.7,9377.1,9250.35,9282.3,5.13E+08,26696.54
28-Apr-20,9389.8,9404.4,9260,9380.9,6.15E+08,30091.41
29-Apr-20,9408.6,9599.85,9392.35,9553.35,6.53E+08,31673.23
30-Apr-20,9753.5,9889.05,9731.5,9859.9,9.31E+08,39332.46
########,9533.5,9533.5,9266.95,9293.5,6.87E+08,29785.95
########,9429.4,9450.9,9190.75,9205.6,7.25E+08,29700.2
########,9226.8,9346.9,9116.5,9270.9,7.22E+08,30798.1
########,9234.05,9277.85,9175.9,9199.05,7.09E+08,59705.53
########,9376.95,9382.65,9238.2,9251.5,6.09E+08,30743.45
########,9348.15,9439.9,9219.95,9239.2,7.05E+08,31048.47
########,9168.85,9240.85,9043.95,9196.55,8.05E+08,37706.27
########,9584.2,9584.5,9351.1,9383.55,8.46E+08,36488.9
########,9213.95,9281.1,9119.75,9142.75,6.03E+08,29541.59
########,9182.4,9182.4,9050,9136.85,5.76E+08,25847.33
########,9158.3,9158.3,8806.75,8823.25,7.73E+08,33347.46
########,8961.7,9030.35,8855.3,8879.1,7.62E+08,32026.94
########,8889.15,9093.8,8875.35,9066.55,6.22E+08,30721.99
########,9079.45,9178.55,9056.1,9106.25,6.32E+08,28303.51
########,9067.9,9149.6,8968.55,9039.25,6.76E+08,31625.47
########,9099.75,9161.65,8996.65,9029.05,6.55E+08,30871.59
########,9082.2,9334,9004.25,9314.95,7.63E+08,34603.88
########,9364.95,9511.25,9336.5,9490.1,8.38E+08,37761.91
########,9422.2,9598.85,9376.9,9580.3,9.67E+08,45006.25
1-Jun-20,9726.85,9931.6,9706.95,9826.15,7.94E+08,38096.92
2-Jun-20,9880.85,9995.6,9824.05,9979.1,7.70E+08,36723.11
3-Jun-20,10108.3,10176.2,10035.55,10061.55,7.95E+08,38343.61
4-Jun-20,10054.25,10123.85,9944.25,10029.1,7.75E+08,36399.04
5-Jun-20,10093.8,10177.8,10040.75,10142.15,9.87E+08,37824.63
8-Jun-20,10326.75,10328.5,10120.25,10167.45,9.36E+08,37819.06
9-Jun-20,10181.15,10291.15,10021.45,10046.65,7.54E+08,36201.05
10-Jun-20,10072.6,10148.75,10036.85,10116.15,6.32E+08,28485.47
11-Jun-20,10094.1,10112.05,9885.05,9902,7.15E+08,30813.85
12-Jun-20,9544.95,9996.05,9544.35,9972.9,7.96E+08,36505.77
15-Jun-20,9919.35,9943.35,9726.35,9813.7,7.16E+08,31926.65
16-Jun-20,10014.8,10046.15,9728.5,9914,9.00E+08,36257.89
17-Jun-20,9876.7,10003.6,9833.8,9881.15,6.85E+08,30700.69
18-Jun-20,9863.25,10111.2,9845.05,10091.65,6.23E+08,28594.32
19-Jun-20,10119,10272.4,10072.65,10244.4,8.92E+08,48103.56
22-Jun-20,10318.75,10393.65,10277.6,10311.2,6.85E+08,35529.8
23-Jun-20,10347.95,10484.7,10301.75,10471,6.69E+08,34148.13
24-Jun-20,10529.25,10553.15,10281.95,10305.3,8.55E+08,41394.45
25-Jun-20,10235.55,10361.8,10194.5,10288.9,9.94E+08,41726.07
26-Jun-20,10378.9,10409.85,10311.25,10383,6.72E+08,31841.68
29-Jun-20,10311.95,10337.95,10223.6,10312.4,5.75E+08,27019.46
30-Jun-20,10382.6,10401.05,10267.35,10302.1,5.56E+08,27342.55
1-Jul-20,10323.8,10447.05,10299.6,10430.05,5.74E+08,28736.28
2-Jul-20,10493.05,10598.2,10485.55,10551.7,5.97E+08,31235.17
3-Jul-20,10614.95,10631.3,10562.65,10607.35,5.25E+08,25186.39
6-Jul-20,10723.85,10811.4,10695.1,10763.65,5.71E+08,29857.54
7-Jul-20,10802.85,10813.8,10689.7,10799.65,6.37E+08,36502.37
8-Jul-20,10818.65,10847.85,10676.55,10705.75,7.68E+08,37676.34
9-Jul-20,10755.55,10836.85,10733,10813.45,6.19E+08,31315.87
10-Jul-20,10764.1,10819.4,10713,10768.05,5.91E+08,31557.58
13-Jul-20,10851.85,10894.05,10756.05,10802.7,5.54E+08,30606.3
14-Jul-20,10750.85,10755.65,10562.9,10607.35,5.32E+08,30902.47
15-Jul-20,10701,10827.45,10577.75,10618.2,7.16E+08,42376.03
16-Jul-20,10706.2,10755.3,10595.2,10739.95,6.94E+08,41453.95
17-Jul-20,10752,10933.45,10749.65,10901.7,6.77E+08,35592.83
20-Jul-20,10999.45,11037.9,10953,11022.2,5.54E+08,32738.64
